SNAP47,86.75,88.08,60.17,93.36,-,-,-,-,-,-,3,0.0047,1,2.58E-04,0.0101,18.23 [1.46 - 952.74],1,0.0016,0,0,0.14170,Inf [0.16 - Inf],4,0.0062,8,0.0021,0.0775,0,0,1,0.0002579,1
MTNR1B,52.15,70.01,85.66,79.31,-,-,-,-,-,-,3,0.0047,1,2.58E-04,0.0101,18.23 [1.46 - 952.74],0,0,1,0.0002579,1,0 [0 - 235.39],5,0.0078,7,0.0018,0.0188,0,0,0,0,1
PIGN,19.01,23.31,89.32,100.00,-,-,-,-,-,-,3,0.0047,1,2.58E-04,0.0101,18.23 [1.46 - 952.74],1,0.0016,1,0.0002579,0.26330,6.06 [0.08 - 474.34],6,0.0094,17,0.0044,0.1251,0,0,1,0.0002579,1
KIF25,97.51,94.59,96.30,100.00,-,-,-,-,-,-,3,0.0047,1,2.58E-04,0.0101,18.23 [1.46 - 952.74],1,0.0016,0,0,0.14170,Inf [0.16 - Inf],9,0.0141,16,0.0041,0.0053,0,0,3,0.0007738,1
MAK16,30.37,39.54,76.96,100.00,-,-,-,-,-,-,3,0.0047,1,2.58E-04,0.0101,18.23 [1.46 - 952.74],0,0,1,0.0002579,1,0 [0 - 235.39],3,0.0047,9,0.0023,0.2358,0,0,0,0,1
XPO7,7.94,2.72,1.24,100.00,-,-,Yes,-,-,-,3,0.0047,1,2.58E-04,0.0101,18.23 [1.46 - 952.74],0,0,0,0,1,-,3,0.0047,3,0.0007738,0.0406,0,0,3,0.0007738,1
MYO10,2.97,31.32,19.64,97.52,-,-,Yes,-,-,-,10,0.0156,22,0.0057,0.0104,2.78 [1.17 - 6.15],0,0,3,0.0007738,1,0 [0 - 14.67],19,0.0297,54,0.0139,0.0062,3,0.0047,6,0.0015,0.1234
TANC2,0.67,0.33,9.05,98.58,-,-,Yes,-,-,-,7,0.0109,12,0.0031,0.0119,3.56 [1.18 - 9.85],0,0,1,0.0002579,1,0 [0 - 235.39],11,0.0172,32,0.0083,0.0444,0,0,12,0.0031,0.3953
ATP8B1,60.76,39.30,18.59,94.07,-,-,-,-,-,-,5,0.0078,6,0.0015,0.0124,5.08 [1.22 - 20.03],1,0.0016,2,0.0005159,0.36770,3.03 [0.05 - 58.33],5,0.0078,22,0.0057,0.5757,1,0.0016,5,0.0013,0.6004
TMEM260,19.93,66.88,96.65,92.50,-,-,-,-,-,-,5,0.0078,6,0.0015,0.0124,5.08 [1.22 - 20.03],1,0.0016,2,0.0005159,0.36770,3.03 [0.05 - 58.33],8,0.0125,25,0.0064,0.1259,0,0,4,0.001,1
CILP,3.34,17.92,98.50,96.18,-,-,-,-,-,-,5,0.0078,6,0.0015,0.0124,5.08 [1.22 - 20.03],0,0,4,0.001,1,0 [0 - 9.18],8,0.0125,43,0.0111,0.6884,1,0.0016,11,0.0028,1
OTUD7B,7.11,5.46,40.06,100.00,-,-,-,-,-,-,5,0.0078,6,0.0015,0.0124,5.08 [1.22 - 20.03],1,0.0016,1,0.0002579,0.26330,6.06 [0.08 - 474.34],10,0.0156,27,0.007,0.0325,0,0,4,0.001,1
CNGA3,16.12,83.99,95.70,100.00,-,-,-,-,-,Yes,5,0.0078,6,0.0015,0.0124,5.08 [1.22 - 20.03],1,0.0016,3,0.0007738,0.45740,2.02 [0.04 - 25.22],12,0.0188,30,0.0077,0.0128,0,0,4,0.001,1
SOGA1,-,-,55.55,96.57,-,-,Yes,-,-,-,6,0.0094,9,0.0023,0.0127,4.07 [1.19 - 12.84],0,0,0,0,1,-,9,0.0141,31,0.008,0.166,2,0.0031,14,0.0036,1
FAT4,21.82,0.11,31.38,99.91,-,-,Yes,-,-,-,12,0.0188,30,0.0077,0.0128,2.45 [1.14 - 4.96],1,0.0016,5,0.0013,0.60040,1.21 [0.03 - 10.86],27,0.0422,112,0.0289,0.0826,4,0.0062,20,0.0052,0.7668
SLC6A17,18.90,5.67,13.68,92.41,-,-,Yes,-,-,-,4,0.0062,4,0.001,0.0174,6.09 [1.13 - 32.79],0,0,1,0.0002579,1,0 [0 - 235.39],5,0.0078,6,0.0015,0.0124,2,0.0031,3,0.0007738,0.1496
SLC46A2,80.96,84.37,27.08,100.00,-,-,-,-,-,-,4,0.0062,4,0.001,0.0174,6.09 [1.13 - 32.79],2,0.0031,2,0.0005159,0.09880,6.07 [0.44 - 83.66],4,0.0062,8,0.0021,0.0775,1,0.0016,0,0,0.1417
PMM1,26.53,42.49,49.16,96.47,-,-,-,-,-,-,4,0.0062,4,0.001,0.0174,6.09 [1.13 - 32.79],0,0,2,0.0005159,1,0 [0 - 32.25],7,0.0109,14,0.0036,0.0213,0,0,1,0.0002579,1
IFT81,32.06,21.68,56.87,90.84,-,-,-,-,-,-,4,0.0062,4,0.001,0.0174,6.09 [1.13 - 32.79],2,0.0031,4,0.001,0.20410,3.03 [0.27 - 21.22],5,0.0078,9,0.0023,0.0374,0,0,3,0.0007738,1
PLCB2,14.81,64.42,16.57,89.39,-,-,-,-,-,-,4,0.0062,4,0.001,0.0174,6.09 [1.13 - 32.79],1,0.0016,1,0.0002579,0.26330,6.06 [0.08 - 474.34],4,0.0062,14,0.0036,0.3083,0,0,2,0.0005159,1
PZP,70.26,88.46,76.06,100.00,-,-,-,-,-,-,4,0.0062,4,0.001,0.0174,6.09 [1.13 - 32.79],2,0.0031,12,0.0031,1,1.01 [0.11 - 4.55],9,0.0141,39,0.0101,0.4018,1,0.0016,3,0.0007738,0.4574
FAM81B,77.85,88.22,88.13,100.00,-,-,-,-,-,-,4,0.0062,4,0.001,0.0174,6.09 [1.13 - 32.79],0,0,0,0,1,-,4,0.0062,11,0.0028,0.2529,0,0,1,0.0002579,1
CSGALNACT1,45.65,68.04,96.95,100.00,-,-,-,-,-,-,4,0.0062,4,0.001,0.0174,6.09 [1.13 - 32.79],1,0.0016,1,0.0002579,0.26330,6.06 [0.08 - 474.34],5,0.0078,17,0.0044,0.2262,0,0,3,0.0007738,1
HEXIM2,53.51,25.08,73.29,97.01,-,-,-,-,-,-,4,0.0062,4,0.001,0.0174,6.09 [1.13 - 32.79],1,0.0016,1,0.0002579,0.26330,6.06 [0.08 - 474.34],5,0.0078,6,0.0015,0.0124,0,0,0,0,1
RPS6KC1,78.02,20.76,59.64,96.66,-,-,-,-,-,-,4,0.0062,4,0.001,0.0174,6.09 [1.13 - 32.79],3,0.0047,2,0.0005159,0.02270,9.12 [1.04 - 109.4],9,0.0141,19,0.0049,0.0122,0,0,3,0.0007738,1
SPATA13,97.67,39.62,73.93,96.37,-,-,-,-,-,-,6,0.0094,10,0.0026,0.0179,3.66 [1.09 - 11.15],0,0,1,0.0002579,1,0 [0 - 235.39],9,0.0141,36,0.0093,0.2793,1,0.0016,5,0.0013,0.6004
GAK,4.59,20.80,59.02,86.71,-,-,-,-,-,-,6,0.0094,10,0.0026,0.0179,3.66 [1.09 - 11.15],0,0,1,0.0002579,1,0 [0 - 235.39],10,0.0156,42,0.0108,0.3142,1,0.0016,6,0.0015,1
ATXN1,20.94,8.90,29.78,100.00,-,-,Yes,-,-,-,6,0.0094,10,0.0026,0.0179,3.66 [1.09 - 11.15],0,0,0,0,1,-,8,0.0125,37,0.0095,0.5166,1,0.0016,4,0.001,0.5343
TEX14,10.60,51.58,92.70,97.66,-,-,-,-,-,-,5,0.0078,7,0.0018,0.0188,4.35 [1.09 - 15.98],3,0.0047,12,0.0031,0.46010,1.52 [0.27 - 5.64],9,0.0141,32,0.0083,0.1727,1,0.0016,8,0.0021,1
