,Gene_Name,mantis_ml_proba,mantis_ml_perc
646,UBC,0.660596238,96.53172984
647,JUP,0.660457425,96.526361
648,EPHB3,0.660391709,96.52099216
649,CLU,0.660316253,96.51562332
650,SNTA1,0.660290549,96.51025448
651,CTNNB1,0.65997392,96.50488564
652,LGI4,0.659905495,96.4995168
653,DPYSL3,0.659779507,96.49414797
654,MDM2,0.659744325,96.48877913
655,MRVI1,0.659666206,96.48341029
656,PDLIM3,0.659469902,96.47804145
657,SORL1,0.65936566,96.47267261
658,NFE2L2,0.659301262,96.46730377
659,SUPT20H,0.659115065,96.46193493
660,DGKD,0.659034051,96.45656609
661,RBM10,0.658785675,96.45119725
662,PHYH,0.658780945,96.44582841
663,SCYL1,0.658724399,96.44045957
664,DHCR7,0.658697496,96.43509073
665,FXR2,0.658678335,96.42972189
666,MORC2,0.658676668,96.42435305
667,TARBP2,0.658552707,96.41898422
668,TRIM33,0.658537894,96.41361538
669,RER1,0.65844786,96.40824654
670,COL4A2,0.658240695,96.4028777
671,SPAST,0.658238629,96.39750886
672,HERC1,0.6581762,96.39214002
673,TCF7L2,0.658025435,96.38677118
674,GPR37L1,0.658020606,96.38140234
675,RAC1,0.658018285,96.3760335
676,SLITRK1,0.658007303,96.37066466
677,NEB,0.657733374,96.36529582
678,ASIC3,0.65761185,96.35992698
679,FBXW8,0.657531387,96.35455814
680,CDS2,0.657525063,96.34918931
681,WDR1,0.657506242,96.34382047
682,SEMA6B,0.657409694,96.33845163
683,MAGI2,0.657345514,96.33308279
684,TNIK,0.657327999,96.32771395
685,NR2E1,0.657322916,96.32234511
686,LRPAP1,0.657160844,96.31697627
687,DOCK3,0.65708747,96.31160743
688,AMOT,0.657076902,96.30623859
689,ITM2B,0.656935779,96.30086975
690,TXNIP,0.656684594,96.29550091
691,MAP2K7,0.656441132,96.29013207
692,NUP50,0.656194781,96.28476323
693,CD81,0.655945537,96.27939439
694,MAPK11,0.65592371,96.27402556
695,KLF2,0.655846499,96.26865672
696,FZR1,0.655787541,96.26328788
697,AQP4,0.655718327,96.25791904
698,AXIN1,0.655700068,96.2525502
699,KMT2D,0.655614378,96.24718136
700,BMP1,0.655486779,96.24181252
701,APBB2,0.65546045,96.23644368
